st_case_year,STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR,idno
100001_2013,10,100001,2,2,0,0,0,2,2,3,0,3,1,2013,5,22,49,0,14,3,SR-58,"IROQUOIS COURT RD",19,39.68551944,-75.63404167,0,12,2,0,2,3,0,1,3,10,0,10,0,0000000,22,50,22,54,23,25,0,0,0,1,1,1
100002_2013,10,100002,1,1,0,1,1,1,1,3,0,3,1,2013,5,18,4,0,14,2,US-13,NULL,19,39.77900833,-75.47793611,0,8,0,0,1,1,1,1,2,10,0,10,0,0000000,18,7,18,7,88,88,0,0,0,1,0,2
100003_2013,10,100003,1,1,0,1,1,3,3,3,0,13,1,2013,1,12,25,0,13,3,SR-4,"HARMONY ROAD",16,39.68561111,-75.68161111,0,8,0,0,3,2,0,1,1,10,0,10,0,0000000,12,25,12,32,12,38,0,0,0,1,0,3
100004_2013,10,100004,2,2,0,0,0,3,3,5,0,7,1,2013,2,9,0,0,4,6,CR-40,"OAK ROAD",36,38.75145,-75.53214167,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,9,3,9,12,10,1,0,0,0,1,0,4
100005_2013,10,100005,1,1,0,0,0,1,1,1,0,21,1,2013,2,23,27,0,4,3,SR-6,NULL,52,39.28468056,-75.66768333,0,42,0,0,1,1,0,5,2,4,0,4,0,0000000,23,29,23,38,88,88,0,0,0,1,1,5
100006_2013,10,100006,1,1,0,0,0,1,1,3,0,26,1,2013,7,0,48,0,13,2,US-40,"WILTON BLVD",4,39.65085833,-75.622325,0,30,0,0,1,1,0,4,3,1,0,1,0,0000000,0,59,1,5,1,57,20,0,0,1,1,6
100007_2013,10,100007,2,2,0,0,0,6,6,3,0,25,1,2013,6,19,45,0,16,8,"WILTON BLVD","CANDLEWICK COURT",4,39.65551389,-75.62541389,0,12,2,0,2,3,0,1,3,10,4,4,0,0000000,99,99,99,99,99,99,0,0,0,1,1,7
100008_2013,10,100008,1,1,0,0,0,1,1,5,0,7,2,2013,5,13,2,0,4,3,SR-16,NULL,119,38.80769722,-75.46984444,0,30,0,0,1,1,0,4,1,1,0,1,0,0000000,13,7,13,12,88,88,0,0,0,1,0,8
100009_2013,10,100009,2,2,0,1,1,3,3,3,0,11,2,2013,2,18,0,0,13,3,SR-2,"POLLYDRUMMOND HILL ROAD",90,39.69791389,-75.70919167,0,8,0,0,2,2,0,1,2,10,0,10,0,0000000,17,59,18,5,18,45,0,0,0,1,0,9
100010_2013,10,100010,1,1,0,0,0,1,1,3,0,10,2,2013,1,8,53,0,13,3,SR-4,NULL,22,39.68386389,-75.68628611,0,33,0,0,1,1,0,4,1,1,0,1,0,0000000,8,59,9,5,9,26,0,0,0,1,1,10
100011_2013,10,100011,2,2,0,0,0,3,3,3,0,11,2,2013,2,13,21,0,13,3,SR-4,NULL,27,39.69689444,-75.65624444,0,12,6,0,7,1,0,1,1,10,0,10,0,0000000,88,88,88,88,88,88,0,0,0,1,0,11
100012_2013,10,100012,1,1,0,1,1,1,1,1,0,19,2,2013,3,20,7,0,13,2,US-13,NULL,25,39.12751389,-75.53090278,0,8,0,0,1,1,0,1,3,10,0,10,0,0000000,20,10,20,14,20,25,0,0,0,1,0,12
100013_2013,10,100013,2,2,0,1,1,3,3,3,0,23,2,2013,7,1,16,1,11,1,I-495,NULL,22,39.71693889,-75.55401111,0,8,0,1,18,1,0,1,2,10,2,2,0,0000000,1,19,1,23,88,88,0,0,0,1,0,13
100014_2013,10,100014,1,1,0,0,0,1,1,3,0,21,2,2013,5,7,24,0,6,6,"THOMPSON STATION RD",NULL,2,39.73486111,-75.75813889,0,42,0,0,1,1,0,4,1,1,0,1,0,0000000,99,99,99,98,88,88,0,0,0,1,0,14
100015_2013,10,100015,2,2,0,0,0,3,3,3,0,14,2,2013,5,14,24,0,14,3,SR-72,"RUE MADORA",37,39.606,-75.71531944,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,14,10,14,19,14,50,0,0,0,1,0,15
100016_2013,10,100016,1,1,0,1,1,1,1,3,0,13,3,2013,4,20,5,0,2,3,SR-52,NULL,10,39.82204167,-75.61692778,0,8,0,0,1,1,0,1,2,10,0,10,0,0000000,20,5,20,14,20,38,0,0,0,1,0,16
100017_2013,10,100017,1,1,0,0,0,1,1,3,0,19,3,2013,3,1,39,0,6,8,"BAYVIEW ROAD",NULL,17,39.49295278,-75.62494167,0,53,0,0,1,1,0,4,2,2,0,2,0,0000000,1,37,1,45,88,88,0,0,0,1,1,17
100018_2013,10,100018,2,2,0,0,0,3,3,1,0,19,3,2013,3,16,5,0,14,5,"STATE STREET",NULL,70,39.13820278,-75.52225833,0,12,6,0,8,1,0,1,1,10,0,10,0,0000000,16,6,16,17,16,22,0,0,0,1,1,18
100019_2013,10,100019,1,1,0,1,1,1,1,3,0,30,3,2013,7,4,5,0,13,3,SR-2,NULL,51,39.72881667,-75.64823333,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,4,6,4,10,88,88,0,0,0,1,0,19
100020_2013,10,100020,1,1,0,0,0,1,1,5,0,6,4,2013,7,22,28,1,2,2,US-113,NULL,109,38.75213611,-75.43435556,0,42,0,0,1,1,0,6,2,1,0,1,0,0000000,22,32,22,38,22,57,0,0,0,1,1,20
100021_2013,10,100021,3,3,0,0,0,4,4,3,0,16,4,2013,3,15,30,1,11,1,I-495,NULL,55,39.75579722,-75.49536944,0,24,0,0,1,1,0,3,1,1,0,1,0,0000000,15,30,15,37,16,2,0,0,0,1,1,21
100022_2013,10,100022,2,2,0,0,0,5,5,3,0,20,4,2013,7,19,15,0,14,5,"CENTERVILLE  RD","RED CLAY DRIVE",15,39.75858611,-75.62554722,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1,22
100023_2013,10,100023,1,1,0,0,0,1,1,3,0,28,4,2013,1,2,19,0,5,3,"SR-276 BETHEL CHURCH ROAD",NULL,1,39.52061944,-75.77803889,0,30,0,0,1,1,0,4,2,1,0,1,0,0000000,2,15,2,24,2,50,0,0,0,1,1,23
