st_case_year,STATE,ST_CASE,VEH_NO,MDRDSTRD,idno
100001_2013,10,100001,1,0,1
100001_2013,10,100001,2,0,2
100002_2013,10,100002,1,0,3
100003_2013,10,100003,1,0,4
100004_2013,10,100004,1,0,5
100004_2013,10,100004,2,0,6
100005_2013,10,100005,1,99,7
100006_2013,10,100006,1,99,8
100007_2013,10,100007,1,99,9
100007_2013,10,100007,2,0,10
100008_2013,10,100008,1,99,11
100009_2013,10,100009,1,0,12
100009_2013,10,100009,2,99,13
100010_2013,10,100010,1,0,14
100011_2013,10,100011,1,0,15
100011_2013,10,100011,2,0,16
100012_2013,10,100012,1,99,17
100013_2013,10,100013,1,0,18
100013_2013,10,100013,2,0,19
100014_2013,10,100014,1,99,20
100015_2013,10,100015,1,0,21
100015_2013,10,100015,2,92,22
100016_2013,10,100016,1,0,23
100017_2013,10,100017,1,99,24
100018_2013,10,100018,1,0,25
100018_2013,10,100018,2,0,26
100019_2013,10,100019,1,99,27
100020_2013,10,100020,1,99,28
100021_2013,10,100021,1,0,29
100021_2013,10,100021,2,0,30
100021_2013,10,100021,3,0,31
100022_2013,10,100022,1,99,32
100022_2013,10,100022,2,99,33
100023_2013,10,100023,1,99,34
100024_2013,10,100024,1,99,35
100025_2013,10,100025,1,99,36
100026_2013,10,100026,1,99,37
100027_2013,10,100027,1,12,38
100027_2013,10,100027,2,0,39
100028_2013,10,100028,1,99,40
100028_2013,10,100028,2,0,41
100028_2013,10,100028,3,0,42
100029_2013,10,100029,1,99,43
100030_2013,10,100030,1,99,44
100030_2013,10,100030,2,0,45
100031_2013,10,100031,1,0,46
100031_2013,10,100031,2,99,47
100032_2013,10,100032,1,99,48
100032_2013,10,100032,2,0,49
100032_2013,10,100032,3,0,50
100032_2013,10,100032,4,0,51
100032_2013,10,100032,5,0,52
100033_2013,10,100033,1,99,53
100034_2013,10,100034,1,0,54
100034_2013,10,100034,2,0,55
100035_2013,10,100035,1,99,56
100035_2013,10,100035,2,0,57
100036_2013,10,100036,1,0,58
100036_2013,10,100036,2,0,59
100036_2013,10,100036,3,98,60
100037_2013,10,100037,1,99,61
100038_2013,10,100038,1,0,62
100039_2013,10,100039,1,0,63
100040_2013,10,100040,1,99,64
100040_2013,10,100040,2,0,65
100041_2013,10,100041,1,0,66
100042_2013,10,100042,1,99,67
100043_2013,10,100043,1,99,68
100044_2013,10,100044,1,0,69
100045_2013,10,100045,1,0,70
100045_2013,10,100045,2,99,71
100046_2013,10,100046,1,0,72
100046_2013,10,100046,2,99,73
