STATE,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP,st_case_year,idno
10,100005,0,1,5,16,1,0,0,0,760,0,1,7,1,7,8,7,1,3,9,8,750,0,100005_2016,1
10,100006,0,1,5,54,1,0,1,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0,100006_2016,2
10,100007,0,1,5,60,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,100007_2016,3
10,100023,0,1,5,14,1,0,1,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0,100023_2016,4
10,100024,0,1,5,84,1,0,0,0,410,0,3,7,4,7,8,7,8,8,8,8,400,0,100024_2016,5
10,100027,0,1,5,36,1,0,0,0,320,0,3,7,3,7,8,7,8,8,8,8,350,0,100027_2016,6
10,100032,0,1,6,47,1,0,0,0,0,155,7,1,77,1,7,2,7,7,7,7,0,158,100032_2016,7
10,100034,0,1,5,47,1,1,1,0,760,0,1,7,2,7,2,7,3,3,1,1b,750,0,100034_2016,8
10,100038,0,1,5,34,1,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0,100038_2016,9
10,100039,0,1,5,76,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,100039_2016,10
10,100048,0,1,5,41,1,0,0,0,320,0,3,7,4,7,8,7,8,8,8,8,350,0,100048_2016,11
10,100051,0,1,5,42,1,0,1,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0,100051_2016,12
10,100052,0,1,5,59,1,0,1,0,742,0,2,7,3,7,1,7,2,3,2,4b,740,0,100052_2016,13
10,100056,0,1,5,62,2,1,0,0,760,0,1,7,2,7,4,7,3,3,2,3a,750,0,100056_2016,14
10,100060,0,1,5,15,1,1,0,0,741,0,2,7,3,7,4,7,3,3,2,4a,740,0,100060_2016,15
10,100061,0,1,5,28,1,1,0,0,760,0,1,7,2,7,1,7,4,3,1,1a,750,0,100061_2016,16
10,100062,0,1,5,49,2,0,0,0,910,0,3,7,3,7,8,7,8,8,8,8,910,0,100062_2016,17
10,100072,0,1,5,45,2,1,1,0,760,0,2,7,3,7,1,7,2,3,2,4b,750,0,100072_2016,18
10,100074,0,1,5,55,1,1,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,100074_2016,19
10,100075,0,1,5,30,1,0,0,0,690,0,1,7,1,7,4,7,3,3,2,4a,990,0,100075_2016,20
10,100076,0,1,5,41,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,100076_2016,21
10,100088,0,1,5,37,2,0,1,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0,100088_2016,22
10,100090,0,1,5,32,1,0,0,0,230,0,3,7,3,7,8,7,8,8,8,8,100,0,100090_2016,23
10,100100,0,1,5,64,1,0,0,0,320,0,3,7,4,7,8,7,8,8,8,8,350,0,100100_2016,24
10,100103,0,1,5,54,2,1,1,0,760,0,2,7,3,7,9,7,4,3,1,2c,750,0,100103_2016,25
10,100104,0,1,5,84,1,1,1,0,741,0,2,7,3,7,2,7,1,3,2,4a,740,0,100104_2016,26
10,100107,0,1,5,72,1,0,0,0,610,0,3,7,3,7,8,7,8,8,8,8,600,0,100107_2016,27
10,100110,0,1,5,42,2,0,1,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0,100110_2016,28
10,100111,0,1,6,20,2,0,0,0,0,160,7,1,77,1,7,9,7,7,7,7,0,190,100111_2016,29
11,110001,0,1,5,36,1,1,0,0,770,0,1,7,2,7,2,7,3,3,1,1b,750,0,110001_2016,30
11,110002,0,1,5,77,2,0,1,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0,110002_2016,31
11,110007,0,1,6,23,1,1,1,0,0,160,7,1,77,3,7,3,7,7,7,7,0,190,110007_2016,32
11,110013,0,1,5,44,1,0,1,0,741,0,2,7,3,7,4,7,3,3,2,4a,740,0,110013_2016,33
11,110014,0,1,5,29,1,1,1,0,690,0,1,7,2,7,4,7,3,3,1,1a,990,0,110014_2016,34
11,110019,0,1,5,30,1,0,1,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0,110019_2016,35
11,110020,0,1,5,23,1,0,1,0,120,0,3,7,3,7,8,7,8,8,8,8,100,0,110020_2016,36
11,110022,0,1,5,62,1,0,1,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0,110022_2016,37
11,110026,0,1,5,54,2,1,1,0,770,0,3,7,2,7,8,7,8,8,8,8,750,0,110026_2016,38
24,240002,0,1,5,45,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240002_2016,39
24,240003,0,1,5,51,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240003_2016,40
