st_case_year,STATE,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,DAY,MONTH,HOUR,MINUTE,HARM_EV,MAN_COLL,UNITTYPE,HIT_RUN,REG_STAT,OWNER,MAKE,MODEL,MAK_MOD,BODY_TYP,MOD_YEAR,VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,TOW_VEH,J_KNIFE,MCARR_I1,MCARR_I2,MCARR_ID,GVWR,V_CONFIG,CARGO_BT,HAZ_INV,HAZ_PLAC,HAZ_ID,HAZ_CNO,HAZ_REL,BUS_USE,SPEC_USE,EMER_USE,TRAV_SP,UNDERIDE,ROLLOVER,ROLINLOC,IMPACT1,DEFORMED,TOWED,M_HARM,VEH_SC1,VEH_SC2,FIRE_EXP,DR_PRES,L_STATE,DR_ZIP,L_STATUS,L_TYPE,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,DR_HGT,DR_WGT,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,FIRST_MO,FIRST_YR,LAST_MO,LAST_YR,SPEEDREL,DR_SF1,DR_SF2,DR_SF3,DR_SF4,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VPAVETYP,VSURCOND,VTRAFCON,VTCONT_F,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,ACC_TYPE,DEATHS,DR_DRINK,idno
100001_2013,10,100001,1,2,1,3,1,22,49,12,2,1,0,10,1,37,32,37032,4,1992,1HGCB7673NA0,1,H,G,C,B,7,6,7,3,N,A,0,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,60,0,0,0,12,6,2,12,0,0,0,1,10,19720,6,1,0,0,3,0,66,178,0,0,0,0,1,5,2011,5,2011,0,0,0,0,0,1,2,40,3,2,2,1,0,0,14,62,1,1,2,51,1,0,1
100001_2013,10,100001,2,2,1,3,1,22,49,12,2,1,0,10,1,22,18,22018,4,2002,1G2NW52EX2M5,1,G,2,N,W,5,2,E,X,2,M,5,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,58,0,0,0,12,6,2,12,0,0,0,1,10,19720,6,1,0,0,3,0,71,260,0,0,0,0,0,0,0,0,0,3,28,0,0,0,1,2,40,2,2,2,1,0,0,14,10,1,2,2,50,0,1,2
100002_2013,10,100002,1,1,1,3,1,18,4,8,0,1,0,10,1,6,441,6441,20,2000,1C4GP64L6YB6,1,C,4,G,P,6,4,L,6,Y,B,6,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,12,4,3,8,0,0,0,1,10,19809,6,1,6,0,3,0,74,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,40,1,1,2,1,0,0,1,80,2,1,1,13,0,0,3
100003_2013,10,100003,1,1,3,13,1,12,25,8,0,1,0,10,1,12,3,12003,2,1998,1FAFP4045WF1,1,F,A,F,P,4,0,4,5,W,F,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,12,4,5,8,0,0,0,1,10,19701,6,1,0,0,3,0,71,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,50,1,1,2,1,2,3,1,80,2,1,1,13,0,0,4
100004_2013,10,100004,1,2,1,7,1,9,0,12,6,1,0,10,3,84,881,84881,66,2005,1HSHXAHR45J0,1,H,S,H,X,A,H,R,4,5,J,0,1,1,10,008795810,10008795810,3,6,3,1,0,0,0,0,0,0,0,50,0,1,1,11,6,2,1,0,0,0,1,10,19958,6,1,6,3,3,0,72,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,50,1,1,2,1,20,3,1,66,6,2,2,79,0,0,5
100004_2013,10,100004,2,2,2,7,1,9,0,12,6,1,0,10,1,20,473,20473,30,2009,1GCCS1993981,1,G,C,C,S,1,9,9,3,9,8,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,55,0,0,0,1,6,2,12,0,0,0,1,10,19968,6,1,0,0,3,3,66,160,0,0,0,0,0,0,0,0,0,3,39,0,0,0,1,2,55,1,1,2,1,20,3,10,17,1,1,2,78,1,0,6
100005_2013,10,100005,1,1,1,21,1,23,27,42,0,1,0,10,1,20,441,20441,20,2003,1GNDM19X03B1,1,G,N,D,M,1,9,X,0,3,B,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,81,6,2,31,0,0,1,1,10,19938,6,1,0,0,3,0,60,225,0,0,0,0,0,0,0,0,0,4,28,0,0,0,1,2,50,3,1,2,2,0,0,14,12,1,4,5,7,1,1,7
100006_2013,10,100006,1,1,1,26,1,0,48,30,0,1,0,10,2,6,43,6043,1,1998,3C3EL45H0WT3,3,C,3,E,L,4,5,H,0,W,T,3,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,998,0,0,0,9,6,2,30,0,0,0,1,10,19702,6,1,0,0,3,0,71,198,0,0,0,1,0,8,2011,8,2011,4,37,0,0,0,2,2,40,1,5,2,3,0,0,1,13,1,3,4,2,1,1,8
100007_2013,10,100007,1,2,2,25,1,19,45,12,2,1,0,10,1,30,40,30040,4,2000,3VWTE29M7YM1,3,V,W,T,E,2,9,M,7,Y,M,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,998,0,0,0,12,6,2,12,0,0,0,1,53,98233,6,1,0,0,3,0,67,165,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,2,35,8,8,8,10,20,3,1,10,1,1,2,50,0,1,9
100007_2013,10,100007,2,2,4,25,1,19,45,12,2,1,0,10,2,41,50,41050,4,2004,1YVFP84C645N,1,Y,V,F,P,8,4,C,6,4,5,N,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,12,6,2,12,0,0,0,1,10,19720,6,1,0,0,3,0,63,175,0,0,0,2,0,5,2012,12,2012,0,0,0,0,0,1,2,35,8,8,8,10,20,3,1,62,1,1,2,51,1,0,10
100008_2013,10,100008,1,1,1,7,2,13,2,30,0,1,0,10,3,86,881,86881,63,2003,1M2AG11C63M0,1,M,2,A,G,1,1,C,6,3,M,0,1,1,10,446269,10446269,3,4,3,1,0,0,0,0,0,0,0,998,0,0,0,12,6,2,42,0,0,0,1,10,19933,6,1,6,3,3,3,68,175,0,0,0,0,0,0,0,0,0,9,21,0,0,0,1,2,50,3,8,2,1,0,0,14,13,1,1,4,1,1,0,11
